




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K4me3_H1.intersect_with_G4.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K4me3_H1.intersect_with_G4.genes_uniq.txt (8962)	H3K4me3_H1.intersect_with_G4.genes_uniq.txt (expected)	H3K4me3_H1.intersect_with_G4.genes_uniq.txt (over/under)	H3K4me3_H1.intersect_with_G4.genes_uniq.txt (fold Enrichment)	H3K4me3_H1.intersect_with_G4.genes_uniq.txt (raw P-value)	H3K4me3_H1.intersect_with_G4.genes_uniq.txt (FDR)
proteasomal protein catabolic process (GO:0010498)	361	215	157.09	+	1.37	2.92E-04	1.03E-02
regulation of cellular protein localization (GO:1903827)	561	334	244.12	+	1.37	5.41E-06	2.77E-04
negative regulation of protein phosphorylation (GO:0001933)	353	210	153.61	+	1.37	3.57E-04	1.22E-02
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	338	201	147.08	+	1.37	5.42E-04	1.74E-02
cell junction assembly (GO:0034329)	276	164	120.10	+	1.37	1.69E-03	4.44E-02
cognition (GO:0050890)	298	177	129.68	+	1.36	1.25E-03	3.41E-02
peptidyl-amino acid modification (GO:0018193)	886	526	385.55	+	1.36	1.16E-08	9.59E-07
negative regulation of cell motility (GO:2000146)	285	169	124.02	+	1.36	1.66E-03	4.38E-02
regulation of cell differentiation (GO:0045595)	1586	939	690.15	+	1.36	1.25E-14	2.08E-12
reproductive system development (GO:0061458)	419	248	182.33	+	1.36	1.24E-04	4.88E-03
regulation of cellular catabolic process (GO:0031329)	899	532	391.20	+	1.36	1.42E-08	1.15E-06
positive regulation of cellular biosynthetic process (GO:0031328)	1969	1165	856.82	+	1.36	4.37E-18	9.46E-16
regulation of DNA metabolic process (GO:0051052)	372	220	161.88	+	1.36	3.51E-04	1.21E-02
cell projection organization (GO:0030030)	1221	722	531.32	+	1.36	2.91E-11	3.54E-09
response to hypoxia (GO:0001666)	347	205	151.00	+	1.36	5.35E-04	1.72E-02
positive regulation of developmental process (GO:0051094)	1271	750	553.08	+	1.36	1.42E-11	1.78E-09
negative regulation of locomotion (GO:0040013)	317	187	137.94	+	1.36	1.04E-03	2.96E-02
negative regulation of phosphorylation (GO:0042326)	395	233	171.89	+	1.36	2.64E-04	9.43E-03
plasma membrane bounded cell projection organization (GO:0120036)	1175	693	511.31	+	1.36	1.04E-10	1.17E-08
regulation of catabolic process (GO:0009894)	1066	628	463.87	+	1.35	1.00E-09	9.79E-08
transcription by RNA polymerase II (GO:0006366)	382	225	166.23	+	1.35	3.50E-04	1.20E-02
reproductive structure development (GO:0048608)	416	245	181.02	+	1.35	1.92E-04	7.11E-03
regulation of protein localization (GO:0032880)	894	526	389.03	+	1.35	2.98E-08	2.24E-06
positive regulation of biosynthetic process (GO:0009891)	2004	1179	872.05	+	1.35	8.84E-18	1.89E-15
regulation of developmental process (GO:0050793)	2461	1447	1070.91	+	1.35	5.58E-22	1.84E-19
positive regulation of catabolic process (GO:0009896)	519	305	225.85	+	1.35	3.21E-05	1.43E-03
regulation of cellular component organization (GO:0051128)	2390	1404	1040.02	+	1.35	3.82E-21	1.23E-18
negative regulation of cellular component movement (GO:0051271)	293	172	127.50	+	1.35	1.91E-03	4.89E-02
negative regulation of cell cycle process (GO:0010948)	368	216	160.14	+	1.35	5.37E-04	1.73E-02
positive regulation of nitrogen compound metabolic process (GO:0051173)	3123	1831	1358.99	+	1.35	4.81E-28	3.45E-25
negative regulation of cell cycle (GO:0045786)	454	266	197.56	+	1.35	1.31E-04	5.12E-03
regulation of membrane potential (GO:0042391)	437	256	190.16	+	1.35	1.64E-04	6.22E-03
nucleic acid-templated transcription (GO:0097659)	531	311	231.07	+	1.35	3.28E-05	1.45E-03
cell population proliferation (GO:0008283)	485	284	211.05	+	1.35	6.91E-05	2.88E-03
transcription, DNA-templated (GO:0006351)	530	310	230.63	+	1.34	3.79E-05	1.67E-03
RNA biosynthetic process (GO:0032774)	543	317	236.29	+	1.34	3.35E-05	1.48E-03
regulation of cellular component size (GO:0032535)	389	227	169.27	+	1.34	4.59E-04	1.52E-02
regulation of multicellular organismal development (GO:2000026)	1332	777	579.63	+	1.34	2.98E-11	3.59E-09
